Input Data,

,
Material Data,

,
matID,Soft PE80
density,938
eDyn0degC,2.62
dEdyndT,-0.037
creepModulus,0.3
poisson,0.38

,
Pipe Data,

,
pipeID,250mm_SDR11
diameter,250
sdr,11
notchDepth,0
diameterCreepRatio,1

,
Test Setup Data,

,
fullScale,2
tempDegC,0
p0bar,5
isBackfilled,2
backfillDepth,100
backfillDensity,2200
solidInsidePipe,0.25
waterInsidePipe,0.25

,
Program Control Data,

,
outflowModelOn,2
lambda,3
solutionmethod,2
numberOfSpeedValues,50
elementsInL,10
aDotc0,0.5

,
Log number,aDotc0,Irwin Corten Force,diameterRes0,residualCrackClosure,densityratio,zetaclosure,nodeAtClosure,outflowLength,p1bar,v0,vStarRes,factor,aDotCLfactor,aDotcClfactor_backfilled,maxIterations,iterations,m[0],m[1],alpha[0],alpha[1],error,notConverged,pStarUnchoke,xUnch,pHalfStar,pStar,tStar,tStarUnchoke,simpsonIntegral,unchoked,tStarOutflow2
11,0.06,0.689812,250,0,12.589,2,28,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,6,6.59843,6.60916,1.03584,0.830461,0.0862427,1,0,0,0,0,0,0,0,0,0
12,0.06,0.689812,250,0,12.589,2,29,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,7,6.59843,6.60916,1.03584,0.830461,0.0689537,1,0,0,0,0,0,0,0,0,0
13,0.06,0.689812,250,0,12.589,2,30,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,8,6.59843,6.60916,1.03584,0.830461,0.053406,1,0,0,0,0,0,0,0,0,0
14,0.06,0.689812,250,0,12.589,2,31,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,9,6.59843,6.60916,1.03584,0.830461,0.0396049,1,0,0,0,0,0,0,0,0,0
15,0.06,0.689812,250,0,12.589,2,32,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,10,6.59843,6.60916,1.03584,0.830461,0.0275254,1,0,0,0,0,0,0,0,0,0
16,0.06,0.689812,250,0,12.589,2,33,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,11,6.59843,6.60916,1.03584,0.830461,0.017114,1,0,0,0,0,0,0,0,0,0
17,0.06,0.689812,250,0,12.589,2,34,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,11,6.59843,6.60916,1.03584,0.830461,0.00829196,1,0,0,0,0,0,0,0,0,0
18,0.06,0.689812,250,0,12.589,2,34,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,11,6.59843,6.60916,1.03584,0.830461,0.00829196,1,1.89293,1.09545,1.41016,0,0,0,6.95322e-310,0,2.12196e-314
19,0.06,0.689812,250,0,12.589,2,34,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,11,6.59843,6.60916,1.03584,0.830461,0.00829196,1,1.89293,1.09545,1.41016,1.82031,0,0,0,1,2.12196e-314
20,0.06,0.689812,250,0,12.589,2,34,3,0.820313,0.199488,0,3.52243,1.00014,1.00177,50,11,6.59843,6.60916,1.03584,0.830461,0.00829196,1,1.89293,1.09545,1.41016,0.979351,0.669738,0,0.629679,1,2.12196e-314
21,0.06,0.689812,250,0,12.589,2,34,3.19012,0.820313,0.25507,0,3.52243,1.00014,1.00177,50,12,6.59843,6.60916,1.03584,0.830461,0.00829196,1,1.89293,1.09545,1.41016,0.979351,0.669738,0,0.629679,1,2.12196e-314
22,0.06,0.689812,250,0,12.589,2,34,3.19012,0.820313,0.25507,0,3.52243,1.00014,1.00177,50,12,8.4369,8.45063,1.10149,0.88309,0.00829196,1,1.89293,1.09545,1.41016,0.979351,0.669738,0,0.629679,1,2.12196e-314
23,0.06,0.689812,250,0,12.589,2,33,3.19012,0.820313,0.25507,0,3.52243,1.00014,1.00177,50,12,8.4369,8.45063,1.10149,0.88309,-0.00520635,1,1.89293,1.09545,1.41016,0.979351,0.669738,0,0.629679,1,2.12196e-314
24,0.06,0.689812,250,0,12.589,2,33,3.19012,0.820313,0.25507,0,3.52243,1.00014,1.00177,50,12,8.4369,8.45063,1.10149,0.88309,-0.00520635,1,1.89293,1.09545,1.41016,0.979351,0.669738,0,0.629679,0,2.12196e-314
25,0.06,0.689812,250,0,12.589,2,33,3.19012,0.820313,0.25507,0,3.52243,1.00014,1.00177,50,12,8.4369,8.45063,1.10149,0.88309,-0.00520635,1,1.89293,1.09545,1.41016,1.82031,0,0,0,1,2.12196e-314
26,0.06,0.689812,250,0,12.589,2,33,3.19012,0.820313,0.25507,0,3.52243,1.00014,1.00177,50,12,8.4369,8.45063,1.10149,0.88309,-0.00520635,1,1.89293,1.09545,1.41016,0.979351,0.669738,0,0.629679,1,2.12196e-314
27,0.06,0.689812,250,0,12.589,2,33,3.24251,0.820313,0.272243,0,3.52243,1.00014,1.00177,50,13,8.4369,8.45063,1.10149,0.88309,-0.00520635,0,1.89293,1.09545,1.41016,0.979351,0.669738,0,0.629679,1,2.12196e-314
 
1,0,0,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.689812,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.689812,250,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.08,0.689812,250,0,12.589,2,20,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,13,8.4369,8.45063,1.10149,0.88309,-0.00520635,0,0,0,0,0,0,0,0,0,0
5,0.08,0.689812,250,0,12.589,2,20,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,0,6.58939,6.60844,1.18187,0.845808,0,1,0,0,0,0,0,0,0,0,0
6,0.08,0.689812,250,0,12.589,2,23,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,1,6.58939,6.60844,1.18187,0.845808,0.197284,1,0,0,0,0,0,0,0,0,0
7,0.08,0.689812,250,0,12.589,2,24,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,2,6.58939,6.60844,1.18187,0.845808,0.172136,1,0,0,0,0,0,0,0,0,0
8,0.08,0.689812,250,0,12.589,2,25,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,3,6.58939,6.60844,1.18187,0.845808,0.148374,1,0,0,0,0,0,0,0,0,0
9,0.08,0.689812,250,0,12.589,2,26,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,4,6.58939,6.60844,1.18187,0.845808,0.126085,1,0,0,0,0,0,0,0,0,0
10,0.08,0.689812,250,0,12.589,2,27,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,5,6.58939,6.60844,1.18187,0.845808,0.10536,1,0,0,0,0,0,0,0,0,0
11,0.08,0.689812,250,0,12.589,2,28,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,6,6.58939,6.60844,1.18187,0.845808,0.0862831,1,0,0,0,0,0,0,0,0,0
12,0.08,0.689812,250,0,12.589,2,29,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,7,6.58939,6.60844,1.18187,0.845808,0.0689164,1,0,0,0,0,0,0,0,0,0
13,0.08,0.689812,250,0,12.589,2,30,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,8,6.58939,6.60844,1.18187,0.845808,0.0532973,1,0,0,0,0,0,0,0,0,0
14,0.08,0.689812,250,0,12.589,2,31,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,9,6.58939,6.60844,1.18187,0.845808,0.0394327,1,0,0,0,0,0,0,0,0,0
15,0.08,0.689812,250,0,12.589,2,32,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,10,6.58939,6.60844,1.18187,0.845808,0.0272985,1,0,0,0,0,0,0,0,0,0
16,0.08,0.689812,250,0,12.589,2,33,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,11,6.58939,6.60844,1.18187,0.845808,0.0168418,1,0,0,0,0,0,0,0,0,0
17,0.08,0.689812,250,0,12.589,2,34,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,11,6.58939,6.60844,1.18187,0.845808,0.00798414,1,0,0,0,0,0,0,0,0,0
18,0.08,0.689812,250,0,12.589,2,34,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,11,6.58939,6.60844,1.18187,0.845808,0.00798414,1,1.89293,1.09545,1.43564,0,0,0,6.95322e-310,0,2.12196e-314
19,0.08,0.689812,250,0,12.589,2,34,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,11,6.58939,6.60844,1.18187,0.845808,0.00798414,1,1.89293,1.09545,1.43564,1.87128,0,0,0,1,2.12196e-314
20,0.08,0.689812,250,0,12.589,2,34,3,0.871279,0.211882,0,4.42184,1.00025,1.00314,50,11,6.58939,6.60844,1.18187,0.845808,0.00798414,1,1.89293,1.09545,1.43564,0.970222,0.679055,0,0.597744,1,2.12196e-314
21,0.08,0.689812,250,0,12.589,2,34,3.31329,0.871279,0.315246,0,4.42184,1.00025,1.00314,50,12,6.58939,6.60844,1.18187,0.845808,0.00798414,1,1.89293,1.09545,1.43564,0.970222,0.679055,0,0.597744,1,2.12196e-314
22,0.08,0.689812,250,0,12.589,2,34,3.31329,0.871279,0.315246,0,4.42184,1.00025,1.00314,50,12,9.80394,9.83228,1.3053,0.934137,0.00798414,1,1.89293,1.09545,1.43564,0.970222,0.679055,0,0.597744,1,2.12196e-314
23,0.08,0.689812,250,0,12.589,2,32,3.31329,0.871279,0.315246,0,4.42184,1.00025,1.00314,50,12,9.80394,9.83228,1.3053,0.934137,-0.00680939,1,1.89293,1.09545,1.43564,0.970222,0.679055,0,0.597744,1,2.12196e-314
24,0.08,0.689812,250,0,12.589,2,32,3.31329,0.871279,0.315246,0,4.42184,1.00025,1.00314,50,12,9.80394,9.83228,1.3053,0.934137,-0.00680939,1,1.89293,1.09545,1.43564,0.970222,0.679055,0,0.597744,0,2.12196e-314
25,0.08,0.689812,250,0,12.589,2,32,3.31329,0.871279,0.315246,0,4.42184,1.00025,1.00314,50,12,9.80394,9.83228,1.3053,0.934137,-0.00680939,1,1.89293,1.09545,1.43564,1.87128,0,0,0,1,2.12196e-314
26,0.08,0.689812,250,0,12.589,2,32,3.31329,0.871279,0.315246,0,4.42184,1.00025,1.00314,50,12,9.80394,9.83228,1.3053,0.934137,-0.00680939,1,1.89293,1.09545,1.43564,0.970222,0.679055,0,0.597744,1,2.12196e-314
27,0.08,0.689812,250,0,12.589,2,32,3.40328,0.871279,0.350911,0,4.42184,1.00025,1.00314,50,13,9.80394,9.83228,1.3053,0.934137,-0.00680939,0,1.89293,1.09545,1.43564,0.970222,0.679055,0,0.597744,1,2.12196e-314
 
1,0,0,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.689812,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.689812,250,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.1,0.689812,250,0,12.589,2,20,3,0.923463,0.224572,0,5.21496,1.00039,1.00491,50,13,9.80394,9.83228,1.3053,0.934137,-0.00680939,0,0,0,0,0,0,0,0,0,0
